DATE_TIME,current_contract,next_contract,carry_contract
2021-04-30 02:00:00,20210500,20210600,20210600
2021-05-31 13:00:00,20210600,20210700,20210700
2021-06-30 09:00:00,20210700,20210800,20210800
2021-07-19 18:00:01,20210800,20210900,20210900
2021-08-26 18:00:01,20210900,20211000,20211000
2021-09-28 18:00:01,20211000,20211100,20211100
2021-10-25 17:00:01,20211100,20211200,20211200
2021-11-29 17:00:01,20211200,20220100,20220100
2021-12-10 17:00:02,20220100,20220200,20220200
2022-01-18 17:00:01,20220200,20220300,20220300
2022-02-11 17:00:01,20220300,20220400,20220400
2022-04-04 23:00:00,20220400,20220500,20220500
