DATE_TIME,current_contract,next_contract,carry_contract
2021-04-06 03:00:00,20210400,20210500,20210500
2021-05-06 02:00:00,20210500,20210600,20210600
2021-06-07 07:00:00,20210600,20210700,20210700
2021-07-06 13:00:00,20210700,20210800,20210800
2021-08-06 02:00:00,20210800,20210900,20210900
2021-08-27 16:00:00,20210900,20211000,20211000
2021-10-12 17:00:02,20211000,20211100,20211100
2021-10-25 17:00:01,20211100,20211200,20211200
2021-11-19 17:00:02,20211200,20220100,20220100
2021-12-08 17:00:02,20220100,20220200,20220200
2022-01-21 18:00:01,20220200,20220300,20220300
2022-02-21 17:00:01,20220300,20220400,20220400
2022-03-06 23:00:00,20220400,20220500,20220500
2022-04-06 23:00:00,20220500,20220600,20220600
