DATE_TIME,current_contract,next_contract,carry_contract
2018-09-14 02:00:00,20210900,20211200,20210600
2018-12-14 02:00:00,20211200,20220300,20210900
2019-03-15 02:00:00,20220300,20220600,20211200
2019-06-14 02:00:00,20220600,20220900,20220300
2019-09-16 01:00:00,20220900,20221200,20220600
2019-12-16 00:30:00,20221200,20230300,20220900
2020-03-13 01:00:00,20230300,20230600,20221200
2020-11-11 14:30:00,20230600,20230900,20230300
2021-03-03 20:00:01,20230900,20231200,20230600
2021-06-24 21:00:01,20231200,20240300,20230900
2021-08-26 18:00:01,20240300,20240600,20231200
2021-12-20 18:00:01,20240600,20240900,20240300
2021-12-20 23:00:01,20240900,20241200,20240600
2022-01-05 18:00:01,20241200,20250300,20240900
2022-01-06 18:00:02,20250300,20250600,20241200
2022-01-07 18:00:01,20250600,20250900,20250300
2022-04-08 23:00:00,20250900,20251200,20250600
