DATE_TIME,current_contract,next_contract,carry_contract
2019-10-17 08:00:00,20210900,20211200,20210600
2020-01-16 07:00:00,20211200,20220300,20210900
2020-04-15 08:00:00,20220300,20220600,20211200
2020-07-16 08:00:00,20220600,20220900,20220300
2020-10-16 08:00:00,20220900,20221200,20220600
2021-01-15 02:00:00,20221200,20230300,20220900
2021-04-15 08:00:00,20230300,20230600,20221200
2021-07-16 08:00:00,20230600,20230900,20230300
2021-10-07 23:00:00,20230900,20231200,20230600
2022-01-10 23:00:01,20231200,20240300,20230900
2022-04-08 23:00:00,20240300,20240600,20231200
