DATE_TIME,current_contract,next_contract,carry_contract
2021-02-16 15:00:00,20210500,20210800,20210400
2021-05-17 14:00:00,20210800,20210900,20210500
2021-06-24 20:00:01,20210900,20211000,20210800
2021-07-13 18:00:01,20211000,20211100,20210900
2021-08-20 23:00:01,20211100,20220100,20211000
2021-10-18 18:00:01,20220100,20220300,20211100
2021-12-10 18:00:01,20220300,20220400,20220100
2022-01-19 18:00:01,20220400,20220500,20220300
2022-02-08 18:00:01,20220500,20220800,20220400
2022-04-08 23:00:00,20220800,20220900,20220500
