DATE_TIME,current_contract,next_contract,carry_contract
2021-04-16 02:00:00,20210600,20210700,20210500
2021-05-16 23:00:00,20210700,20210800,20210600
2021-06-11 02:00:00,20210800,20210900,20210700
2021-06-24 21:00:01,20210900,20211000,20210800
2021-08-20 23:00:01,20211000,20211100,20210900
2021-08-26 18:00:01,20211100,20211200,20211000
2021-10-12 17:00:01,20211200,20220100,20211100
2021-10-20 18:00:01,20220100,20220200,20211200
2021-11-19 18:00:01,20220200,20220300,20220100
2021-12-10 18:00:01,20220300,20220400,20220200
2022-01-24 18:00:01,20220400,20220500,20220300
2022-02-23 18:00:01,20220500,20220600,20220400
2022-04-08 23:00:00,20220600,20220700,20220500
