DATE_TIME,current_contract,next_contract,carry_contract
2021-03-23 14:00:00,20210500,20210600,20210600
2021-04-23 16:00:00,20210600,20210700,20210700
2021-05-14 17:00:00,20210700,20210800,20210800
2021-05-17 21:00:01,20210800,20210900,20210900
2021-06-17 21:00:02,20210900,20211000,20211000
2021-06-29 21:00:02,20211000,20211100,20211100
2021-09-21 18:00:01,20211100,20211200,20211200
2021-11-19 18:00:01,20211200,20220100,20220100
2021-12-02 19:00:01,20220100,20220200,20220200
2021-12-10 18:00:01,20220200,20220300,20220300
2022-01-21 18:00:01,20220300,20220400,20220400
2022-02-08 18:00:01,20220400,20220500,20220500
2022-03-23 23:00:00,20220500,20220600,20220600
2022-04-08 23:00:00,20220600,20220700,20220700
