DATE_TIME,current_contract,next_contract,carry_contract
2021-04-16 11:00:00,20210600,20210700,20210500
2021-05-17 13:00:00,20210700,20210800,20210600
2021-06-04 15:00:00,20210800,20210900,20210700
2021-06-17 21:00:01,20210900,20211000,20210800
2021-08-30 19:00:02,20211000,20211100,20210900
2021-09-27 19:00:01,20211100,20211200,20211000
2021-10-25 18:00:01,20211200,20220100,20211100
2021-11-23 19:00:02,20220100,20220200,20211200
2021-12-10 19:00:01,20220200,20220300,20220100
2022-01-19 19:00:01,20220300,20220400,20220200
2022-02-18 23:00:01,20220400,20220500,20220300
2022-03-18 19:00:00,20220500,20220600,20220400
2022-04-18 19:00:00,20220600,20220700,20220500
