DATE_TIME,current_contract,next_contract,carry_contract
2020-12-21 18:00:00,20210600,20210700,20210500
2021-01-19 13:00:00,20210700,20210800,20210600
2021-02-19 19:00:00,20210800,20210900,20210700
2021-03-23 18:00:00,20210900,20211000,20210800
2021-04-22 16:00:00,20211000,20211100,20210900
2021-10-15 15:00:02,20211100,20211200,20211000
2021-10-18 18:00:01,20211200,20220100,20211100
2021-10-19 18:00:01,20220100,20220200,20211200
2021-10-20 18:00:02,20220200,20220300,20220100
2021-10-25 18:00:02,20220300,20220400,20220200
2021-10-29 18:00:01,20220400,20220500,20220300
2021-11-23 18:00:01,20220500,20220600,20220400
2021-12-10 19:00:02,20220600,20220700,20220500
2022-01-24 19:00:02,20220700,20220800,20220600
2022-02-18 23:00:01,20220800,20220900,20220700
2022-03-18 19:00:00,20220900,20221000,20220800
2022-04-08 19:00:00,20221000,20221100,20220900
