DATE_TIME,current_contract,next_contract,carry_contract
2021-05-11 23:00:00,20210500,20210600,20210600
2021-06-11 23:00:00,20210600,20210700,20210700
2021-07-09 23:00:00,20210700,20210800,20210800
2021-08-11 23:00:00,20210800,20210900,20210900
2021-09-10 23:00:00,20210900,20211000,20211000
2021-09-27 19:00:01,20211000,20211100,20211100
2021-11-12 19:00:02,20211100,20211200,20211200
2021-12-02 19:00:01,20211200,20220300,20220100
2022-02-21 19:00:01,20220300,20220600,20220400
2022-04-09 23:00:00,20220600,20220900,20220700
